Ward_ID,LGA,Ward,Population,Routing_Cells,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank,2SFCA_Quintile
KANO_W364,Rogo,Fulatan,38374.30983901024,81,0.7765646201213667,0.6151512953748864,0.2400792615112175,1.0818978479951527,4.742822913476868,0.0,0.0,286,199,Moderate
KANO_W365,Rogo,Gwangwan,36553.89067983627,63,0.8260711013675827,0.6437185718891888,0.18253564185931456,1.505355995897665,6.287766457988388,0.0,0.0,243,242,Moderate
KANO_W366,Rogo,Jajaye,31628.20753657818,121,0.714165251180779,0.5906821706714817,0.21718426774898944,1.7726907671436465,1.832829757274923,0.0,0.0,339,146,Low
KANO_W367,Rogo,Rogo Ruma,31962.745903253555,85,0.72062949802474,0.6301812113264428,0.0,1.6487138185850034,7.539934292984976,3388.490981817246,10.601376340048194,335,150,Low
KANO_W368,Rogo,Rogo Sabon Gari,38057.31451201439,31,1.2327509564892818,1.1686421572170789,0.8175004992647843,1.6162896321442115,13.187611544809405,0.0,0.0,86,399,Very High
KANO_W369,Rogo,Ruwan Bago,57883.68446946144,117,0.8569564506249061,0.8776438194638494,0.18253564185931456,1.4340145215557025,6.154866231614639,0.0,0.0,218,267,Moderate
KANO_W370,Rogo,Zarewa,40037.516083717346,49,0.7819848411998717,0.8052318972616184,0.421729420168281,1.2801002369314924,7.181147754619005,0.0,0.0,283,202,Moderate
KANO_W371,Rogo,Zoza,38602.81891822815,118,0.843384554436798,0.8580202070880254,0.21718426774898944,1.4882014184144683,5.5259454791423686,0.0,0.0,228,257,Moderate
KANO_W372,Shanono,Alajawa,21685.219534873962,47,0.7825172987889323,0.6835171144594189,0.40700338390489404,1.0072832716148197,8.069089876050452,0.0,0.0,281,204,Moderate
KANO_W373,Shanono,Dutsen Bakoshi,40829.42319869995,74,0.7026552037460713,0.7586348199543798,0.051502092180303057,1.3890044072061003,8.012804940893913,0.0,0.0,346,139,Low
KANO_W374,Shanono,Faruruwa,20316.194950580597,42,1.113797498031416,0.8331754995104848,0.48073172078339405,1.7239591734790323,7.2408747369796576,0.0,0.0,109,376,High
KANO_W375,Shanono,Goron Dutse,26471.876638889313,69,0.8542334517785144,0.891134596291946,0.43651021018478237,1.2992601093624856,5.766603250426933,0.0,0.0,219,266,Moderate
