Ward_ID,LGA,Ward,Demand_Population,Routing_Cells,Weighted_Mean_Time_Min,Median_Cell_Time_Min,P90_Cell_Time_Min,Max_Time_Min,Pop_Within_5min,Pct_Within_5min,Pop_Within_10min,Pct_Within_10min,Pop_Within_15min,Pct_Within_15min,Pop_Within_30min,Pct_Within_30min,Ward_Raster_Population,Population_Difference,Population_Difference_Pct,Poor_Access_Rank
KANO_W075,Dala,Kofar Ruwa,135677.9864835739,11,1.3142162646176392,1.2650961072502738,1.8815256427897928,1.8957774255356556,135677.9864835739,100.0,135677.9864835739,100.0,135677.9864835739,100.0,135677.9864835739,100.0,135677.9864835739,0.0,0.0,390
KANO_W076,Dala,Madigawa,21879.958984375,3,0.7727452888710203,0.716408632420515,0.9910462708418394,1.0597056804471705,21879.958984375,100.0,21879.958984375,100.0,21879.958984375,100.0,21879.958984375,100.0,21879.958984375,0.0,0.0,446
KANO_W077,Dala,Yalwa,10913.062141895294,2,1.0305524720676429,0.813191959952231,1.0104029363481826,1.0597056804471705,10913.062141895294,100.0,10913.062141895294,100.0,10913.062141895294,100.0,10913.062141895294,100.0,10913.062141895294,0.0,0.0,427
KANO_W078,Dambatta,Ajumawa,55442.741149902344,56,1.8009044499094728,2.268480524297044,5.671568818797462,7.539144940094266,49175.69574546814,88.69636443932346,55442.741149902344,100.0,55442.741149902344,100.0,55442.741149902344,100.0,55442.74114990234,7.275957614183426e-12,1.3123372804586237e-14,326
KANO_W079,Dambatta,Danbatta East,92805.13618087769,29,1.6526359846595442,2.5581786706090903,4.58831201243064,8.737361259882825,91720.50393152237,98.83127993342808,92805.13618087769,100.0,92805.13618087769,100.0,92805.13618087769,100.0,92805.13618087769,0.0,0.0,342
KANO_W080,Dambatta,Danbatta West,82826.8969039917,43,1.6173937058581902,2.3988935676862835,3.593684825703512,8.737361259882825,82748.29253292084,99.90509801283275,82826.8969039917,100.0,82826.8969039917,100.0,82826.8969039917,100.0,82826.8969039917,0.0,0.0,348
KANO_W081,Dambatta,Fagwalawa,45192.51347398758,81,4.464493239991378,4.765106154697119,8.560308402842129,14.124587372953396,30029.23233795166,66.44736047981979,44608.111634492874,98.70686139236075,45192.51347398758,100.0,45192.51347398758,100.0,45192.51347398758,0.0,0.0,43
KANO_W082,Dambatta,Goron Maje,28022.33770275116,70,6.863982401766433,7.03036582049134,15.158696373961497,19.10514974847553,12922.76353597641,46.11593676821505,20102.952360391617,71.73902682079932,25271.251462459564,90.18252413673004,28022.33770275116,100.0,27982.368955135345,39.96874761581421,0.14283546786155543,4
KANO_W083,Dambatta,Gwanda,31257.3174264431,72,4.566260045076541,5.226246905945157,10.43228958787543,12.027582921115723,17179.87900543213,54.96274287088462,27216.12794494629,87.07122103166141,31257.3174264431,100.0,31257.3174264431,100.0,31257.3174264431,0.0,0.0,37
KANO_W084,Dambatta,Gwarabjawa,73836.61919975281,118,3.157001535568506,3.8589527952968097,10.038620872042785,12.027582921115723,53409.62982916832,72.3348799119274,69266.80953836441,93.8109169800617,73836.61919975281,100.0,73836.61919975281,100.0,73836.61919975281,0.0,0.0,159
KANO_W085,Dambatta,Kore,34694.26978778839,69,2.586624426500969,3.625816097111655,6.695439366431671,21.998640546240942,28745.62249970436,82.85409283876089,34485.89705371857,99.39940302723083,34485.89705371857,99.39940302723083,34694.26978778839,100.0,34694.26978778839,0.0,0.0,223
KANO_W086,Dambatta,Saidawa,56500.86523294449,87,3.8723252862003825,3.951918010379747,9.536186126143395,17.480569805881288,40236.05790400505,71.21317122864914,52570.339760541916,93.04342427996879,56043.348410606384,99.19024811310086,56500.86523294449,100.0,56500.86523294449,0.0,0.0,90
KANO_W087,Dambatta,San San,23166.29583621025,64,3.4047896313600514,3.9855901782299847,10.490413044106514,12.537643748865937,17891.077272176743,77.22890788700005,20951.569081306458,90.43987536651393,23166.29583621025,100.0,23166.29583621025,100.0,23162.822091817856,3.4737443923950195,0.014997068917703691,129
KANO_W088,Dawakin Kudu,Dabar Kwari,34017.96837592125,42,6.564075151840978,6.491008620181396,10.887719835331714,12.359123455160766,12559.731921195984,36.9208759982447,24767.926905870438,72.80836595580405,34017.96837592125,100.0,34017.96837592125,100.0,34017.96837592125,0.0,0.0,7
KANO_W089,Dawakin Kudu,Danbagina,41607.82873606682,43,4.4364493999364925,4.659802911916382,6.694874801844115,10.54166657051034,24027.934059381485,57.74858912201156,40957.06410908699,98.43595629296627,41607.82873606682,100.0,41607.82873606682,100.0,41607.82873606682,0.0,0.0,44
